!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
"ignore	"@@ ig@@ n@@ ore
ghum,	gh@@ um@@ ,
ghumar	gh@@ u@@ mar
ghumli	gh@@ um@@ li
ghunteli	gh@@ un@@ t@@ eli
giant	gi@@ ant
gibraltar	gi@@ br@@ al@@ tar
gibran	gi@@ bra@@ n
gift	gi@@ ft
gigantea	gi@@ gan@@ te@@ a
gijubhai	gi@@ ju@@ bhai
gin	gin
ginger	g@@ inger
gir	gir
gira	g@@ ira
giraffe	gi@@ ra@@ ff@@ e
girdharlal	gir@@ dhar@@ lal
giri	giri
giridih	gi@@ ri@@ di@@ h
girija	gi@@ ri@@ ja
girish	gir@@ ish
girna	gir@@ na
girnar	gir@@ nar
git	gi@@ t
gita	g@@ ita
gitanjali	g@@ it@@ an@@ j@@ ali
giuseppe	gi@@ us@@ ep@@ pe
giza	gi@@ za
gl	g@@ l
glacier	g@@ la@@ ci@@ er
gland	g@@ land
global	global
globalization	glo@@ bal@@ ization
globals	global ⧺s
glock	glo@@ ck
glottolink	glo@@ tt@@ ol@@ in@@ k
glottolog	glo@@ t@@ to@@ lo@@ g
gmail	g@@ ma@@ il
gnu	g@@ nu
go	go
goa	go@@ a
goair	go@@ air
goalpara	go@@ al@@ para
goat	go@@ at
goatee	go@@ ate@@ e
gobind	go@@ b@@ ind
gobioff	go@@ bi@@ o@@ f@@ f
god	go@@ d
godavari	go@@ da@@ var@@ i
godbole	go@@ d@@ bo@@ le
godda	go@@ d@@ da
godhead	go@@ dhe@@ ad
godhra	go@@ dhra
godse	go@@ d@@ se
gogh	go@@ gh
gogoi	go@@ go@@ i
gohelwar	go@@ hel@@ war
gohil	go@@ hi@@ l
gohilwad	go@@ hil@@ wad
gokhale	go@@ kha@@ le
gokul	go@@ ku@@ l
gola	g@@ ola
goladara	go@@ la@@ d@@ ara
golaghat	g@@ ola@@ ghat
golay,	go@@ la@@ y,
gold	gol@@ d
golden	gol@@ den
goldfish	gol@@ d@@ f@@ ish
goldman	gol@@ d@@ man
golfer	gol@@ f@@ er
golghar	gol@@ g@@ har
golibar	go@@ li@@ bar
gomai	go@@ ma@@ i
gomati	go@@ mati
gomti	go@@ m@@ ti
gomukh	go@@ mukh
gomukhasana	go@@ mukh@@ asana
gonda	gon@@ da
gonda,	gon@@ da,
gondal	gon@@ dal
gondal,	gon@@ dal@@ ,
gongylophis	gon@@ gy@@ lo@@ phis
good	go@@ od
goodison	go@@ o@@ dis@@ on
google	google
googol	go@@ o@@ go@@ l
gop	go@@ p
gopachal	go@@ pa@@ chal
gopal	go@@ pal
gopaldas	go@@ pal@@ das
gopalganj	go@@ pal@@ ganj
gopalkrishna	go@@ pal@@ krishna
gopinath	go@@ pin@@ ath
gopipura	go@@ pi@@ pura
gopnath	go@@ p@@ nath
gor	go@@ r
gorai	go@@ rai
gorakhnath	go@@ ra@@ kh@@ nath
gorakhpur	go@@ ra@@ kh@@ pur
goregaon	gor@@ e@@ gaon
gorkha	gorkha
gosala	go@@ s@@ ala
goshawk	go@@ sha@@ wk
gospel	go@@ spe@@ l
goswami	go@@ swami
gota,	go@@ ta@@ ,
gout	go@@ ut
govardhanram	go@@ var@@ dhan@@ ram
governing	gover@@ ning
government	government
governors	gover@@ nor@@ s
govind	go@@ vind
govindbhai	go@@ vind@@ bhai
govindghat	go@@ vind@@ ghat
gozaria	go@@ z@@ aria
gpl-lic	g@@ p@@ l@@ -@@ lic
grading	gra@@ ding
graf	gra@@ f
graham	gra@@ ham
graharipu	gra@@ har@@ ip@@ u
gram	g@@ ram
gramgeeta	gram@@ ge@@ e@@ ta
gramjivan	gram@@ jiv@@ an
grammar	gram@@ mar
grand	gr@@ and
grandis	g@@ ran@@ di@@ s
granth	g@@ ran@@ th
grants	g@@ ran@@ ts
granulatus	g@@ ran@@ ul@@ at@@ us
granville	g@@ ran@@ vil@@ le
grape	gra@@ pe
grapheme	gra@@ ph@@ em@@ e
graphical	gra@@ ph@@ ical
grass	gra@@ ss
grassbird	gra@@ ss@@ bird
grasslands	gra@@ ss@@ land ⧺s
gratitude	g@@ rat@@ it@@ ude
graupel	gra@@ u@@ pe@@ l
gravitational	g@@ rav@@ it@@ ation@@ al
gravity	g@@ rav@@ ity
gray	gra@@ y
great	great
greater	gre@@ at@@ er
greatest	gre@@ at@@ est
grebe	gre@@ be
greece	gre@@ e@@ ce
greek	gre@@ ek
green	gre@@ en
greenhouse	gre@@ en@@ house
gregorian	gre@@ g@@ ori@@ an
grenada	g@@ ren@@ ada
grenadiers	g@@ ren@@ adi@@ ers
grewia	gre@@ w@@ ia
grey	gre@@ y
griddharaj	g@@ ri@@ d@@ dh@@ ara@@ j
grin	g@@ ri@@ n
grishneshwar	g@@ rish@@ ne@@ shwar
groningen	g@@ ron@@ ing@@ en
grotto	gro@@ t@@ to
ground	ground
grounds	ground ⧺s
group	group
groups	group ⧺s
groveonline	gro@@ ve@@ on@@ line
growth	gro@@ w@@ th
grypotyphlops	gr@@ y@@ pot@@ y@@ ph@@ lo@@ ps
gsat	g@@ sa@@ t
gsfc	g@@ s@@ f@@ c
gu	gu
gu-0	gu@@ -@@ 0
gu-1	gu@@ -@@ 1
gu-2	gu@@ -@@ 2
gu-3	gu@@ -@@ 3
gu-4	gu@@ -@@ 4
gu-n	gu@@ -@@ n
guam	gu@@ am
guan	gu@@ an
guanajuato	gu@@ an@@ a@@ ju@@ at@@ o
guang	gu@@ ang
guarantee	gu@@ ar@@ an@@ te@@ e
guards	gu@@ ar@@ ds
guatemala	gu@@ at@@ em@@ ala
gucci	gu@@ c@@ c@@ i
guerrero	gu@@ er@@ r@@ er@@ o
guevara	gu@@ ev@@ ara
gufa	gu@@ fa
guhar	gu@@ har
guhyeshwari	gu@@ h@@ ye@@ shwari
guiana	gu@@ iana
guianensis	gu@@ i@@ an@@ en@@ sis
guide	gu@@ ide
guillotine	gu@@ il@@ lo@@ t@@ ine
guinea	gu@@ in@@ ea
guinea-bissau	gu@@ in@@ ea@@ -@@ bis@@ sa@@ u
gujarat	gujarat
gujarat-geo-stub	gujarat@@ -@@ ge@@ o@@ -@@ stub
gujarati	gujarati
gujarati-language	gujarati@@ -@@ language
gujjubhai	guj@@ ju@@ bhai
gujlit	guj@@ li@@ t
gujral	guj@@ ral
gujrat	guj@@ rat
gulab	gu@@ la@@ b
gulabdas	gu@@ la@@ b@@ das
gulam	gu@@ lam
gulbarga	gul@@ bar@@ ga
gulf	gul@@ f
gulmi	gul@@ mi
gulzarilal	gul@@ z@@ ari@@ lal
gum	gu@@ m
gumla	gu@@ m@@ la
gun	gu@@ n
guna	gun@@ a
gunatitanand	gun@@ at@@ it@@ anand
gunda	gun@@ da
gundala	gun@@ d@@ ala
gundappa	gun@@ da@@ p@@ pa
gundiyali	gun@@ di@@ y@@ ali
gunthli	gun@@ th@@ li
guntur	gun@@ t@@ ur
gunvant	gun@@ van@@ t
gunvantrai	gun@@ van@@ tra@@ i
gupt	gu@@ pt
gupta	gupta
gurbachan	gur@@ ba@@ chan
gurdaspur	gur@@ das@@ pur
gurdjieff	gur@@ d@@ ji@@ ef@@ f
gurdwara	gur@@ d@@ wara
gurgaon	gur@@ gaon
guru	guru
gurudwara	gur@@ ud@@ wara
guwahati	gu@@ wa@@ h@@ ati
guyana	gu@@ yana
gvp	g@@ v@@ p
gwalior	g@@ w@@ ali@@ or
gyalshing	gy@@ al@@ sh@@ ing
gyanpur	g@@ yan@@ pur
gymkhana	gy@@ m@@ kh@@ ana
gyr	gy@@ r
günter	g@@ ü@@ n@@ ter
h-1b	h@@ -@@ 1@@ b
h.	h@@ .
haber	ha@@ ber
habib	ha@@ bi@@ b
hadith	ha@@ di@@ th
hadmatiya	had@@ m@@ atiya
hadron	had@@ r@@ on
haemophilia	ha@@ em@@ o@@ phil@@ ia
haflong	ha@@ fl@@ ong
hafnium	ha@@ f@@ ni@@ um
hahn	ha@@ h@@ n
hai	ha@@ i
haiku	ha@@ ik@@ u
hailakandi	ha@@ i@@ lak@@ andi
hainaut	ha@@ in@@ au@@ t
hair	ha@@ ir
haiti	ha@@ it@@ i
hajapar	ha@@ ja@@ par
haji	ha@@ ji
hajipir	ha@@ ji@@ pi@@ r
hajipur	ha@@ j@@ ipur
hajiro	ha@@ j@@ ir@@ o
hajj	ha@@ j@@ j
hal	hal
halar	ha@@ lar
haldarvas	hal@@ dar@@ va@@ s
haldighati	hal@@ di@@ gh@@ ati
halenda	hal@@ en@@ da
hale–bopp	ha@@ le@@ –@@ bo@@ pp
halite	hal@@ ite
halle	hal@@ le
halloween	hal@@ lo@@ we@@ en
hallows	hal@@ lo@@ w@@ s
halogen	ha@@ lo@@ ge@@ n
halol	ha@@ lo@@ l
halva	hal@@ va
halvad	hal@@ vad
hame	ham@@ e
hamid	ha@@ mi@@ d
hamilton	ham@@ il@@ ton
hamirpur	ham@@ ir@@ pur
hamirpur,	ham@@ ir@@ pur,
hamirsar	ham@@ ir@@ sar
hampar	ham@@ par
hampi	ham@@ pi
hampshire	ham@@ p@@ shir@@ e
hamsat	ham@@ sa@@ t
hamta	ham@@ ta
hamza	ham@@ za
hand	h@@ and
handbook	h@@ and@@ book
handicapped	hand@@ ic@@ ap@@ pe@@ d
handler	hand@@ ler
handler/blacklist	hand@@ ler@@ /@@ bla@@ ck@@ list
handler/config	hand@@ ler@@ /@@ config
handler/data	hand@@ ler@@ /@@ data
handler/shared	hand@@ ler@@ /@@ shar@@ ed
hands/numdisp/frac	hand@@ s/@@ num@@ dis@@ p@@ /@@ fra@@ c
hands/numdisp/frac0	hand@@ s/@@ num@@ dis@@ p@@ /@@ fra@@ c@@ 0
hands/numdisp/frac1	hand@@ s/@@ num@@ dis@@ p@@ /@@ fra@@ c@@ 1
handvo	hand@@ v@@ o
hangal	h@@ ang@@ al
hanging	h@@ ang@@ ing
hangpan	h@@ ang@@ pan
hansa	han@@ sa
hansot	han@@ so@@ t
hanuman	han@@ uman
hanumangarh	han@@ um@@ ang@@ arh
hanumanpur,	han@@ um@@ an@@ pur,
hapur	ha@@ pur
har	har
harald	har@@ ald
haranbari	har@@ an@@ bari
harbour	har@@ bo@@ ur
harda	har@@ da
hardoi	har@@ doi
hardwar	har@@ d@@ war
hardware	har@@ d@@ ware
hardy	har@@ dy
hare	har@@ e
harela	har@@ ela
hari	hari
haribhadra	hari@@ bhadra
haribhai	hari@@ bhai
haridwar	har@@ id@@ war
harij	har@@ i@@ j
harikrishna	hari@@ krishna
harilal	har@@ i@@ lal
harindra	har@@ indra
hariprasad	hari@@ prasad
haripura	har@@ i@@ pura
harir	har@@ ir
harish	har@@ ish
harishchandra	har@@ ish@@ chandra
harivallabh	hari@@ valla@@ bh
harivamsa	har@@ iv@@ am@@ sa
harivansh	har@@ iv@@ an@@ sh
harji	har@@ ji
harkisan	har@@ kis@@ an
harley-davidson	har@@ ley@@ -@@ da@@ vid@@ son
harmadiya	har@@ ma@@ diya
harold	har@@ ol@@ d
harpal	har@@ pal
harrier	har@@ rier
harrison	har@@ ris@@ on
harry	har@@ ry
harsh	har@@ sh
harsh4101991	har@@ sh@@ 4@@ 10@@ 199@@ 1
harshaali	har@@ sha@@ ali
harshal	har@@ sha@@ l
harshida	har@@ shi@@ da
harshnath	har@@ sh@@ nath
harsol	har@@ so@@ l
hart	har@@ t
haruki	har@@ u@@ ki
harvard	har@@ var@@ d
haryana	har@@ yana
haryanvi	har@@ yan@@ vi
has	ha@@ s
hasan	ha@@ san
hasao	ha@@ sa@@ o
hasmukh	has@@ mukh
hasmukhbhai	has@@ mukh@@ bhai
hassan	ha@@ ss@@ an
hassan,	has@@ san@@ ,
hassium	has@@ si@@ um
hasta	ha@@ st@@ a
hastinapur	ha@@ st@@ ina@@ pur
hatha	h@@ atha
hathiagor	hat@@ hi@@ ag@@ or
hathigadh	hat@@ hi@@ gadh
hathmati	h@@ ath@@ mati
hathras	h@@ ath@@ ras
hatice	hat@@ ice
hatkoti	hat@@ kot@@ i
hatnote	hatnote
haumea	ha@@ u@@ me@@ a
haveli	haveli
haveri	ha@@ ver@@ i
hawa	ha@@ wa
hawai,	ha@@ wa@@ i,
hawaii	ha@@ wa@@ ii
hawk-cuckoo	ha@@ wk@@ -@@ cu@@ c@@ ko@@ o
hawk-eagle	ha@@ wk@@ -@@ e@@ ag@@ le
hawthorns	ha@@ w@@ th@@ or@@ ns
hayagriva	ha@@ yag@@ ri@@ va
hazara	haz@@ ara
hazare	haz@@ are
hazari	haz@@ ari
hazaribagh	haz@@ ari@@ bag@@ h
hazira	haz@@ ira
hazrat	haz@@ rat
hcards	h@@ card ⧺s
header	header
headerbar	head@@ er@@ bar
heading	head@@ ing
health	he@@ al@@ th
healthy	he@@ al@@ th@@ y
hearing	he@@ ar@@ ing
heat	he@@ at
heatcapacity	he@@ at@@ ca@@ pa@@ city
heath	he@@ ath
hebrew	he@@ bre@@ w
hectare	he@@ ct@@ are
hedgewar	he@@ d@@ ge@@ war
heera	he@@ era
heidi	hei@@ di
height	hei@@ ght
heinrich	he@@ in@@ ric@@ h
helen	he@@ len
helicopter	hel@@ ic@@ op@@ ter
heliotropism	he@@ li@@ o@@ trop@@ ism
helium	he@@ lium
hell	h@@ ell
help	hel@@ p
helpbox	hel@@ p@@ box
hemachandra	he@@ ma@@ chandra
hemant	hem@@ ant
hemchandra	hem@@ chandra
hemis	hem@@ is
hemkund	hem@@ kund
hemophilia	hem@@ o@@ phil@@ ia
hemu	hem@@ u
hen	he@@ n
henrik	h@@ en@@ ri@@ k
henry	h@@ en@@ ry
herald	her@@ ald
herbicide	her@@ b@@ ici@@ de
herculebot	her@@ cu@@ le@@ bot
heritage	her@@ it@@ age
herodotus	her@@ od@@ ot@@ us
heron	her@@ on
herzegovina	her@@ ze@@ go@@ vin@@ a
hess's	h@@ es@@ s@@ 's
hexandra	he@@ x@@ and@@ ra
hi	hi
hi-0	hi@@ -@@ 0
hi-1	hi@@ -@@ 1
hi-2	hi@@ -@@ 2
hi-3	hi@@ -@@ 3
hi-4	hi@@ -@@ 4
hi-n	hi@@ -@@ n
hi-power	hi@@ -@@ power
hidalgo	hi@@ dal@@ go
hidden	hi@@ d@@ den
hide	hi@@ de
hidimba	hi@@ di@@ m@@ ba
high	hi@@ gh
high-risk	hi@@ gh@@ -@@ ris@@ k
high-use	hi@@ gh@@ -@@ use
higher	high@@ er
highlight	hi@@ gh@@ light
highlight/core	high@@ li@@ gh@@ t/@@ core
highway	highway
highways	highway ⧺s
hijra	hi@@ j@@ ra
hiking	h@@ ik@@ ing
hill	hill
hill,	hil@@ l@@ ,
hillary	hil@@ l@@ ary
hillock	hil@@ lo@@ ck
hills	hill ⧺s
hills,	hil@@ l@@ s@@ ,
hillsborough	hil@@ l@@ s@@ bor@@ o@@ u@@ gh
himachal	himachal
himalaya	himala@@ ya
himalayan	himala@@ yan
himalayas	himala@@ ya ⧺s
himanshi	hi@@ man@@ shi
himatnagar	hi@@ mat@@ nagar
himayat	hima@@ yat
himesh	hi@@ me@@ sh
himmler	hi@@ m@@ m@@ ler
hind	h@@ ind
hindaun	h@@ in@@ da@@ un
hindi	hindi
hindi-language	hindi@@ -@@ language
hindon	hind@@ on
hindu	hindu
hinduism	hinduism
hindus	hindu ⧺s
hindustan	hindu@@ stan
hindustani	hindu@@ st@@ ani
hindu–arabic	hindu@@ –@@ ara@@ bi@@ c
hinganghat	h@@ ing@@ ang@@ hat
hinglaj	h@@ ing@@ la@@ j
hingoli	h@@ ing@@ oli
hippopotamus	hi@@ p@@ po@@ pot@@ am@@ us
hirakud	hi@@ ra@@ ku@@ d
hiran	hi@@ ran
hiravadi	hi@@ ra@@ vad@@ i
hiroshima	h@@ ir@@ o@@ shi@@ ma
hirubhai	h@@ ir@@ ubhai
hirwani	h@@ ir@@ w@@ ani
his	hi@@ s
hisar	h@@ is@@ ar
hispanica	h@@ is@@ pan@@ ica
historic	hist@@ ori@@ c
history	history
history,	hist@@ or@@ y,
history/output	hist@@ or@@ y/@@ out@@ put
hitendra	hit@@ endra
hitler	hit@@ ler
hitopadesha	hit@@ o@@ pa@@ de@@ sha
hiv/aids	hi@@ v@@ /@@ a@@ id@@ s
hlist	h@@ list
ho	ho
hockey	ho@@ c@@ key
hoe	ho@@ e
hoi	ho@@ i
hold	hol@@ d
hole	ho@@ le
holi	h@@ oli
holiday	ho@@ li@@ day
holiday/date	ho@@ li@@ da@@ y/@@ date
holland	hol@@ land
holmium	hol@@ mium
homa	ho@@ ma
homai	ho@@ ma@@ i
home	ho@@ me
homeopathy	ho@@ me@@ o@@ pat@@ h@@ y
homi	ho@@ mi
homosexuality	ho@@ mo@@ se@@ x@@ u@@ ality
honduras	hon@@ du@@ ras
honey	hon@@ ey
hong	h@@ ong
hooghly	ho@@ o@@ gh@@ ly
hookah	ho@@ o@@ ka@@ h
hoopoe	ho@@ o@@ po@@ e
hope	ho@@ pe
hormone	hor@@ mon@@ e
horned	hor@@ ne@@ d
horse	hor@@ se
horsfield's	hor@@ s@@ fiel@@ d@@ 's
horst	hor@@ st
hosdurg	ho@@ s@@ dur@@ g
hoshangabad	ho@@ sh@@ ang@@ abad
hoshiar	ho@@ shi@@ ar
hoshiarpur	ho@@ shi@@ ar@@ pur
hospital	ho@@ s@@ pit@@ al
hotcat	hot@@ cat
hotel	hot@@ el
hotel,	hot@@ el@@ ,
hotels	hot@@ el ⧺s
hotspur	hot@@ s@@ pur
houbara	ho@@ u@@ bara
hour	ho@@ ur
house	house
houssay	ho@@ us@@ sa@@ y
houston	ho@@ u@@ st@@ on
how	ho@@ w
how-to	ho@@ w@@ -@@ to
howard	ho@@ ward
howdah	ho@@ w@@ da@@ h
howrah	ho@@ w@@ rah
hoysala	ho@@ ys@@ ala
hr	h@@ r
hrithik	h@@ rit@@ hi@@ k
hsb	h@@ s@@ b
htmlbuilder	h@@ t@@ m@@ l@@ buil@@ der
hu	hu
huang	hu@@ ang
hudgens	h@@ ud@@ gen@@ s
hudhud	hu@@ dh@@ u@@ d
hudson	h@@ ud@@ son
hugh	hu@@ gh
hughes	hu@@ gh@@ es
hugo.arg	hu@@ go@@ .@@ ar@@ g
hull	h@@ ul@@ l
human	hu@@ man
humanitarian	h@@ um@@ an@@ it@@ ari@@ an
humayun	hu@@ ma@@ yu@@ n
humayun's	hu@@ ma@@ y@@ un@@ 's
humla	h@@ um@@ la
humor	h@@ um@@ or
humorists	h@@ um@@ or@@ ists
humphry	h@@ um@@ ph@@ ry
hun	hu@@ n
huna	hun@@ a
hundru	hun@@ d@@ ru
hundur	hun@@ d@@ ur
hungary	hun@@ g@@ ary
hungry	hun@@ g@@ ry
hunshi	hun@@ shi
hunshilal	hun@@ shi@@ lal
hurriyat	h@@ ur@@ ri@@ yat
husain	h@@ us@@ ain
husbandry	h@@ us@@ band@@ ry
hussain	h@@ us@@ sa@@ in
hutheesing	hu@@ the@@ es@@ ing
hyderabad	hy@@ de@@ ra@@ bad
hydrocarbon	hy@@ dro@@ car@@ b@@ on
hydrogen	hy@@ dro@@ ge@@ n
hydroplane	hy@@ dro@@ plan@@ e
hydrotropism	hy@@ dro@@ trop@@ ism
hyena	hy@@ ena
hygiene	hy@@ gi@@ en@@ e
hymns	hy@@ m@@ ns
i	i
i.	i@@ .
i18n	i@@ 18@@ n
iaaf	i@@ a@@ a@@ f
iafd	i@@ af@@ d
ian	ian
iast	i@@ ast
ibn	i@@ bn
icd10	ic@@ d@@ 10
icd9	ic@@ d@@ 9
ice	ice
iceland	ice@@ land
ices2csharp	ic@@ es@@ 2@@ c@@ shar@@ p
ichharam	ich@@ h@@ aram
icici	ic@@ ic@@ i
icon	icon
icon/data	ic@@ on/@@ data
icon2	ic@@ on@@ 2
id	id
idaho	i@@ da@@ ho
idar	id@@ ar
ideal	i@@ de@@ al
identifying	id@@ enti@@ f@@ y@@ ing
ideogram	i@@ de@@ og@@ ram
idiom	i@@ di@@ om
idioma-bot	i@@ di@@ o@@ ma@@ -@@ bot
idli	id@@ li
idukki	i@@ du@@ k@@ ki
iem4ibx	i@@ em@@ 4@@ i@@ b@@ x
if	if
ifarticle	i@@ f@@ article
ifnotempty	i@@ f@@ no@@ temp@@ ty
ifsubst	i@@ f@@ sub@@ st
igatpuri	ig@@ at@@ puri
ignace	ig@@ na@@ ce
ii	ii
iii	i@@ ii
ikhar	ik@@ har
ila	ila
ilaiyaraaja	ila@@ iy@@ ara@@ a@@ ja
illicium	il@@ lic@@ ium
illinois	il@@ lin@@ o@@ is
image	image
images	image ⧺s
imagica	ima@@ g@@ ica
imdb	im@@ db
immanuel	im@@ man@@ u@@ el
imperial,	im@@ per@@ i@@ al@@ ,
imphal	im@@ p@@ hal
implant	im@@ plant
importance	importance
importance/entry	importan@@ c@@ e/@@ en@@ try
importance/icon	importan@@ c@@ e/@@ icon
importance/row	importan@@ c@@ e/@@ row
improve	im@@ pro@@ ve
imran	im@@ ran
in	in
ina	ina
inayat	ina@@ yat
inc.	in@@ c.
inca	in@@ ca
incident	in@@ ci@@ d@@ ent
incorporating	in@@ corpor@@ at@@ ing
incorrect	in@@ cor@@ rect
increasenegative	in@@ cre@@ as@@ en@@ eg@@ ative
ind	ind
indeevar	inde@@ e@@ var
independence	independence
independent	independ@@ ent
index	inde@@ x
index/getchar	inde@@ x@@ /@@ ge@@ t@@ char
india	india
india-hist-stub	india@@ -@@ h@@ ist@@ -@@ stub
india/meta/color	indi@@ a/@@ meta/color
indian	indian
indiana	indi@@ ana
indica	ind@@ ica
indies	indi@@ es
indigo	indi@@ go
indira	indi@@ ra
indium	indi@@ um
indo-european	indo@@ -@@ eur@@ o@@ pe@@ an
indo-pakistani	indo@@ -@@ pak@@ ist@@ ani
indonesia	ind@@ on@@ esia
indoor	in@@ do@@ or
indore	ind@@ ore
indra	indra
indra,	ind@@ ra,
indrajit	ind@@ raj@@ it
indraprastha	ind@@ ra@@ pra@@ st@@ ha
indravati	ind@@ rav@@ ati
indrayani	ind@@ ra@@ y@@ ani
indroda	ind@@ ro@@ da
indulal	ind@@ u@@ lal
indus	ind@@ us
industrial	indus@@ tri@@ al
industrialists	indus@@ tri@@ al@@ ists
industry	indus@@ try
infantry	inf@@ an@@ try
infarction	inf@@ ar@@ ction
infection	in@@ fe@@ ction
infections	in@@ fe@@ ction ⧺s
infinity	inf@@ in@@ ity
inflation	in@@ fl@@ ation
influenza	inf@@ lu@@ en@@ za
info	inf@@ o
infobox	infobox
infobox3cols	info@@ box@@ 3@@ col@@ s
infoboximage	infobox@@ image
information	in@@ for@@ m@@ ation
infrared	inf@@ r@@ ar@@ ed
initial	in@@ iti@@ al
injuries	in@@ j@@ ur@@ ies
inline	inline
inquilab	in@@ qu@@ ila@@ b
inrconvert	in@@ r@@ convert
inrconvert/currentrate	in@@ r@@ convert/@@ cur@@ ren@@ tr@@ ate
ins	in@@ s
insas	in@@ sa@@ s
insead	in@@ se@@ ad
insomnia	in@@ som@@ nia
installation	in@@ st@@ all@@ ation
institut	instit@@ ut
institute	institute
institutions	instit@@ ut@@ i@@ ons
instrument	in@@ str@@ ument
instrument/classification	in@@ str@@ um@@ ent/@@ cla@@ s@@ si@@ fic@@ ation
instrument/color	in@@ str@@ um@@ ent@@ /color
instruments	in@@ str@@ ument ⧺s
insurance	in@@ sur@@ ance
integrity	in@@ te@@ gr@@ ity
intel	in@@ te@@ l
intellectual	in@@ tel@@ le@@ ct@@ u@@ al
intelligence	in@@ tel@@ li@@ g@@ ence
interested	inter@@ est@@ ed
interferometer	inter@@ fer@@ o@@ me@@ ter
internal	inter@@ nal
international	international
internet	internet
interview	inter@@ vi@@ e@@ w
intricate	in@@ tric@@ ate
intro	in@@ tro
introduction	in@@ tro@@ du@@ ction
invalid	in@@ val@@ id
investment	in@@ ve@@ st@@ ment
invitation	in@@ v@@ it@@ ation
io	i@@ o
iodine	i@@ od@@ ine
iora	i@@ ora
iowa	i@@ o@@ wa
ip	i@@ p
ipa	ipa
ipa-all	ipa@@ -@@ all
ipa-en	ipa@@ -@@ en
ipa-fa	ipa@@ -@@ fa
ipa-hns	ipa@@ -@@ h@@ ns
ipa-ml	ipa@@ -@@ m@@ l
ipa-sa	ipa@@ -@@ sa
ipa-sh	ipa@@ -@@ sh
ipa/english	ipa@@ /@@ english
ipablink	ipa@@ b@@ link
ipac-en	ipac@@ -@@ en
ipac-en/data	ipac@@ -@@ en@@ /@@ data
ipac-en/phonemes	ipac@@ -@@ en@@ /@@ ph@@ on@@ em@@ es
ipac-en/pronunciation	ipac@@ -@@ en@@ /@@ pr@@ on@@ un@@ ci@@ ation
ipac-ro/pronunciation	ipac@@ -@@ ro@@ /@@ pr@@ on@@ un@@ ci@@ ation
ipad	ipa@@ d
ipaslink	i@@ pas@@ link
ipod	i@@ po@@ d
ipsum	ip@@ su@@ m
ipv4	ip@@ v@@ 4
iran	i@@ ran
irani	ir@@ ani
iraq	ira@@ q
iravan	i@@ rav@@ an
irc	ir@@ c
ireland	ireland
irfan	ir@@ f@@ an
iridium	i@@ ri@@ dium
irish	ir@@ ish
iron	iron
irony	ir@@ on@@ y
irvin	ir@@ vin
is	is
isaac	is@@ a@@ a@@ c
isanpur	is@@ anpur
isbn	is@@ bn
isbnt	is@@ b@@ n@@ t
isha	ish@@ a
ishaq	isha@@ q
ishwar	ish@@ war
isis	is@@ is
islam	islam
islamabad	is@@ la@@ ma@@ bad
islamic	is@@ la@@ mic
island	island
islands	island ⧺s
islands/area	is@@ land@@ s/@@ area
islands/density	is@@ land@@ s/@@ den@@ s@@ ity
islands/length	is@@ land@@ s/@@ l@@ eng@@ th
ismail	is@@ ma@@ il
isnav	is@@ na@@ v
iso	iso
isodate	iso@@ date
isomer	is@@ om@@ er
isospin	is@@ os@@ p@@ in
israel	is@@ ra@@ el
iss	is@@ s
issues	is@@ su@@ es
isvalidpagename	is@@ val@@ id@@ pag@@ en@@ ame
isxn	is@@ x@@ n
it	it
italic	it@@ ali@@ c
italy	it@@ al@@ y
itanagar	it@@ an@@ agar
itc	it@@ c
item	it@@ em
itis	it@@ is
its	it@@ s
ittoop	it@@ to@@ o@@ p
itza	it@@ za
iucn	i@@ u@@ c@@ n
iucn2009.2	i@@ u@@ c@@ n@@ 200@@ 9@@ .@@ 2
iucn2012.2	i@@ u@@ c@@ n@@ 201@@ 2@@ .@@ 2
iv	i@@ v
ivana	iv@@ ana
ivanka	iv@@ an@@ ka
ivory	iv@@ ory
iwi	i@@ wi
j.	j@@ .
ja	ja
jaan	ja@@ an
jab	ja@@ b
jabal,	ja@@ bal@@ ,
jabalpur	ja@@ bal@@ pur
jack	ja@@ ck
jackal	ja@@ ck@@ al
jackfruit	ja@@ ck@@ f@@ ru@@ it
jackie	ja@@ ck@@ i@@ e
jackman	ja@@ ck@@ man
jackson	ja@@ ck@@ son
jacobin	ja@@ co@@ bin
jacques	ja@@ c@@ qu@@ es
jacuzzi	ja@@ cu@@ z@@ z@@ i
jadav	j@@ adav
jadavpur	j@@ ada@@ v@@ pur
jadeja	ja@@ de@@ ja
jadunath	j@@ ad@@ un@@ ath
jaffna	ja@@ ff@@ na
jafrabad	ja@@ fra@@ bad
jagadguru	jag@@ ad@@ guru
jagadish	jag@@ a@@ dish
jagadu	jag@@ ad@@ u
jagat	jag@@ at
jagatsinghpur	jag@@ at@@ sing@@ h@@ pur
jagdalpur	jag@@ dal@@ pur
jagdish	jag@@ dish
jagdishchandra	jag@@ dish@@ chandra
jaggery	jag@@ ger@@ y
jaggi	jag@@ g@@ i
jagya	jag@@ ya
jahan	ja@@ han
jahangir	ja@@ h@@ ang@@ ir
jai	ja@@ i
jaigad	ja@@ i@@ ga@@ d
