!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
ભાદરણ	ભા@@ દર@@ ણ
ભાષ્ય	ભા@@ ષ્@@ ય
ભિલાઈ	ભિ@@ લા@@ ઈ
ભીતાઈ	ભી@@ તા@@ ઈ
ભીલાડ	ભી@@ લા@@ ડ
ભીષ્મ	ભી@@ ષ્@@ મ
ભુંતર	ભુ@@ ંત@@ ર
ભુપેન	ભુ@@ પે@@ ન
ભુરુડ	ભુ@@ રુ@@ ડ
મધ્યમ	મધ@@ ્ય@@ મ
માંકડ	મા@@ ંક@@ ડ
મિકાઊ	મિ@@ કા@@ ઊ
મિડાસ	મિ@@ ડા@@ સ
મિથેન	મિ@@ થે@@ ન
મિન્હ	મિ@@ ન્@@ હ
મિલાન	મિ@@ લા@@ ન
મિશ્ર	મિ@@ શ્@@ ર
મુનિમ	મુ@@ નિ@@ મ
મૃણાલ	મૃ@@ ણા@@ લ
મેવાત	મે@@ વા@@ ત
મૈસૂર	મૈ@@ સૂ@@ ર
મોડેલ	મો@@ ડે@@ લ
મોનીલ	મો@@ ની@@ લ
મોહરમ	મો@@ હર@@ મ
યુસુફ	યુ@@ સુ@@ ફ
યુસૈન	યુ@@ સૈ@@ ન
યોગેશ	યો@@ ગે@@ શ
યોહાન	યો@@ હા@@ ન
રજનીશ	રજ@@ ની@@ શ
રણજીત	રણ@@ જી@@ ત
રમઝાન	રમ@@ ઝા@@ ન
રામોલ	રા@@ મો@@ લ
રાહુલ	રા@@ હુ@@ લ
રીંગણ	રી@@ ંગ@@ ણ
રુકુમ	રુ@@ કુ@@ મ
રુપિન	રુ@@ પિ@@ ન
રૂપેણ	રૂ@@ પે@@ ણ
રૂબિન	રૂ@@ બિ@@ ન
રેડૉન	રે@@ ડૉ@@ ન
રેન્ક	રે@@ ન્@@ ક
રોજીદ	રો@@ જી@@ દ
લાંભા	લા@@ ંભ@@ ા
લાગોસ	લા@@ ગો@@ સ
લાડોલ	લા@@ ડો@@ લ
લાહોર	લા@@ હો@@ ર
લિપીડ	લિ@@ પી@@ ડ
લીંબુ	લી@@ ંબ@@ ુ
લીડ્ઝ	લી@@ ડ્@@ ઝ
લેનિન	લે@@ નિ@@ ન
લોબાન	લો@@ બા@@ ન
લોહિત	લો@@ હિ@@ ત
વરતેજ	વર@@ તે@@ જ
વરસાદ	વર@@ સા@@ દ
વાઘેર	વા@@ ઘે@@ ર
વાઘેલ	વા@@ ઘે@@ લ
વાલોડ	વા@@ લો@@ ડ
વાળાં	વા@@ ળા@@ ં
વાશીમ	વા@@ શી@@ મ
વિકેટ	વિ@@ કે@@ ટ
વિગાન	વિ@@ ગા@@ ન
વિદુર	વિ@@ દુ@@ ર
વિરાટ	વિ@@ રા@@ ટ
વિરાધ	વિ@@ રા@@ ધ
વિરોધ	વિ@@ રો@@ ધ
વિલાસ	વિ@@ લા@@ સ
વિલિસ	વિ@@ લિ@@ સ
વિવિધ	વિ@@ વિ@@ ધ
વિવેક	વિ@@ વે@@ ક
વિશેષ	વિ@@ શે@@ ષ
વીઝેડ	વી@@ ઝે@@ ડ
વીલેન	વી@@ લે@@ ન
વુડ્સ	વુ@@ ડ્@@ સ
વેકુર	વે@@ કુ@@ ર
વેગાસ	વે@@ ગા@@ સ
વેબેક	વે@@ બે@@ ક
વેલ્થ	વે@@ લ્@@ થ
વૈદિક	વૈ@@ દિ@@ ક
વૈશાખ	વૈ@@ શા@@ ખ
વૈશ્ય	વૈ@@ શ્@@ ય
વોર્ન	વો@@ ર્@@ ન
વોલ્ટ	વો@@ લ્@@ ટ
શાર્પ	શા@@ ર્@@ પ
શિંદે	શિ@@ ંદ@@ ે
શિણાય	શિ@@ ણા@@ ય
શિનોર	શિ@@ નો@@ ર
શિરિષ	શિ@@ રિ@@ ષ
શુક્ર	શુ@@ ક્@@ ર
શુક્લ	શુ@@ ક્@@ લ
શ્મિટ	શ્@@ મિ@@ ટ
સંકુલ	સં@@ કુ@@ લ
સંજાણ	સં@@ જા@@ ણ
સંજીવ	સં@@ જી@@ વ
સંતોષ	સં@@ તો@@ ષ
સંથાલ	સં@@ થા@@ લ
સંભાર	સં@@ ભા@@ ર
સરખેજ	સર@@ ખે@@ જ
સરડોઈ	સર@@ ડો@@ ઈ
સરપંચ	સર@@ પં@@ ચ
સરસાઇ	સર@@ સા@@ ઇ
સાદિક	સા@@ દિ@@ ક
સાબિર	સા@@ બિ@@ ર
સિતાર	સિ@@ તા@@ ર
સિરિલ	સિ@@ રિ@@ લ
સિવિલ	સિ@@ વિ@@ લ
સિહોર	સિ@@ હો@@ ર
સીમલક	સી@@ મલ@@ ક
સીસું	સી@@ સુ@@ ં
સુનિલ	સુ@@ નિ@@ લ
સુનીલ	સુ@@ ની@@ લ
સુપૌલ	સુ@@ પૌ@@ લ
સુબિર	સુ@@ બિ@@ ર
સુભાષ	સુ@@ ભા@@ ષ
સેંગર	સે@@ ંગ@@ ર
સેખોં	સે@@ ખો@@ ં
સેપ્ટ	સે@@ પ્@@ ટ
સેલિન	સે@@ લિ@@ ન
સોરોસ	સો@@ રો@@ સ
સોલાર	સો@@ લા@@ ર
સોસેજ	સો@@ સે@@ જ
સોહિલ	સો@@ હિ@@ લ
સૌમ્ય	સૌ@@ મ્@@ ય
સ્કુલ	સ્@@ કુ@@ લ
સ્કૂલ	સ્@@ કૂ@@ લ
સ્કેલ	સ્@@ કે@@ લ
સ્ટીવ	સ્@@ ટી@@ વ
સ્પેન	સ્@@ પે@@ ન
સ્મિથ	સ્@@ મિ@@ થ
સ્યુટ	સ્@@ યુ@@ ટ
સ્વિસ	સ્@@ વિ@@ સ
હરદોઇ	હર@@ દો@@ ઇ
હરદોઈ	હર@@ દો@@ ઈ
હરસોલ	હર@@ સો@@ લ
હરીયલ	હર@@ ીય@@ લ
હાલાર	હા@@ લા@@ ર
હાલોલ	હા@@ લો@@ લ
હાસ્ય	હા@@ સ્@@ ય
હિમલર	હિ@@ મલ@@ ર
હિમેશ	હિ@@ મે@@ શ
હુસૈન	હુ@@ સૈ@@ ન
હેમિસ	હે@@ મિ@@ સ
હેલેન	હે@@ લે@@ ન
હેલોઝ	હે@@ લો@@ ઝ
હોમાય	હો@@ મા@@ ય
અજમેર	અજ@@ મેર
અનારા	અન@@ ારા
અરનાથ	અર@@ નાથ
અલવાર	અલ@@ વાર
અવકાશ	અવ@@ કાશ
અવસાન	અવ@@ સાન
આઇવરી	આઇ@@ વરી
ઉપખંડ	ઉપ@@ ખંડ
ઉપયોગ	ઉપ@@ યોગ
એકનાથ	એક@@ નાથ
એકવાર	એક@@ વાર
એશિયન	એશ@@ િયન
એશિયા	એશ@@ િયા
કલર્સ	કલ@@ ર્સ
કાબરો	કા@@ બરો
કાબુલ	કા@@ બુલ
કાર્ડ	કા@@ ર્ડ
કાળના	કા@@ ળના
કુશોક	કુ@@ શોક
કેન્ટ	કે@@ ન્ટ
કેસરી	કે@@ સરી
કોદરા	કો@@ દરા
કોસાડ	કો@@ સાડ
ક્વાન	ક્@@ વાન
ખરગોન	ખર@@ ગોન
ખાદ્ય	ખા@@ દ્ય
ખાનનો	ખા@@ નનો
ખાવડા	ખા@@ વડા
ગઢવાલ	ગઢ@@ વાલ
ગઢીયા	ગઢ@@ ીયા
ગામિત	ગા@@ મિત
ગુમલા	ગુ@@ મલા
ગુલામ	ગુ@@ લામ
ગેટ્સ	ગે@@ ટ્સ
ગોંડા	ગો@@ ંડા
ગોપાલ	ગો@@ પાલ
ગોમતી	ગો@@ મતી
ગોરાઇ	ગો@@ રાઇ
ઘાવરી	ઘા@@ વરી
ઘુમલી	ઘુ@@ મલી
ચાંગા	ચા@@ ંગા
ચાંદી	ચા@@ ંદી
ચાવડા	ચા@@ વડા
ચીનનો	ચી@@ નનો
ચીરાઇ	ચી@@ રાઇ
જગ્યા	જગ@@ ્યા
જયનગર	જય@@ નગર
જયપુર	જય@@ પુર
જળબંધ	જળ@@ બંધ
જાલોર	જા@@ લોર
જીન્દ	જી@@ ન્દ
જીવંત	જી@@ વંત
જુમલા	જુ@@ મલા
જુવાર	જુ@@ વાર
જેક્સ	જે@@ ક્સ
જેમ્સ	જે@@ મ્સ
જોહાર	જો@@ હાર
ઝીંગા	ઝી@@ ંગા
ટિલોર	ટિ@@ લોર
ટીંબા	ટી@@ ંબા
ટેકરી	ટે@@ કરી
ઠાકોર	ઠા@@ કોર
ડાકોર	ડા@@ કોર
ડામોર	ડા@@ મોર
ડાર્ટ	ડા@@ ર્ટ
ડોમેન	ડો@@ મેન
તિબેટ	તિ@@ બેટ
તિમોર	તિ@@ મોર
તુવેર	તુ@@ વેર
થુંગા	થુ@@ ંગા
દાંડી	દા@@ ંડી
દાદરા	દા@@ દરા
દિવાન	દિ@@ વાન
દિવેલ	દિ@@ વેલ
દીવાન	દી@@ વાન
દીવાલ	દી@@ વાલ
દુકાળ	દુ@@ કાળ
દેગામ	દે@@ ગામ
દેવાસ	દે@@ વાસ
ધનબાદ	ધન@@ બાદ
ધાન્ય	ધા@@ ન્ય
ધાવડા	ધા@@ વડા
નવકાર	નવ@@ કાર
નવનાથ	નવ@@ નાથ
નવસાર	નવ@@ સાર
નાતાલ	ના@@ તાલ
નાનું	ના@@ નું
નાસિક	ના@@ સિક
નીલ્સ	ની@@ લ્સ
નૃવંશ	નૃ@@ વંશ
નોકરી	નો@@ કરી
નોબેલ	નો@@ બેલ
પરમાર	પર@@ માર
પાંડા	પા@@ ંડા
પાતાલ	પા@@ તાલ
પાત્ર	પા@@ ત્ર
પાદરા	પા@@ દરા
પાનાં	પા@@ નાં
પાનું	પા@@ નું
પુત્ર	પુ@@ ત્ર
પૂજ્ય	પૂ@@ જ્ય
પેંડા	પે@@ ંડા
પેટોન	પે@@ ટોન
ફાસ્ટ	ફા@@ સ્ટ
ફૂલ્સ	ફૂ@@ લ્સ
ફેદરા	ફે@@ દરા
ફોર્ટ	ફો@@ ર્ટ
ફોર્ડ	ફો@@ ર્ડ
ફોર્સ	ફો@@ ર્સ
બલરાજ	બલ@@ રાજ
બલરામ	બલ@@ રામ
બળવંત	બળ@@ વંત
બાકોર	બા@@ કોર
બુંદી	બુ@@ ંદી
બુદ્ધ	બુ@@ દ્ધ
બુમલા	બુ@@ મલા
બુર્જ	બુ@@ ર્જ
બેગડો	બે@@ ગડો
બોન્ડ	બો@@ ન્ડ
બોર્ડ	બો@@ ર્ડ
ભગવાન	ભગ@@ વાન
ભરવાડ	ભર@@ વાડ
ભવનાથ	ભવ@@ નાથ
ભીંડા	ભી@@ ંડા
ભુતાન	ભુ@@ તાન
ભૂતાન	ભૂ@@ તાન
ભૂપતિ	ભૂ@@ પતિ
ભેરાઇ	ભે@@ રાઇ
ભૌતિક	ભૌ@@ તિક
મકબરો	મક@@ બરો
મતદાન	મત@@ દાન
મધિયો	મધ@@ િયો
મરિયમ	મર@@ િયમ
માસિક	મા@@ સિક
મિથુન	મિ@@ થુન
મિનાર	મિ@@ નાર
મિરિક	મિ@@ રિક
મીથુન	મી@@ થુન
મુંડા	મુ@@ ંડા
મુકેશ	મુ@@ કેશ
મુક્ત	મુ@@ ક્ત
મુનાર	મુ@@ નાર
મેદાન	મે@@ દાન
મૈસુર	મૈ@@ સુર
મોક્ષ	મો@@ ક્ષ
મોર્સ	મો@@ ર્સ
મોસ્ટ	મો@@ સ્ટ
યુક્ત	યુ@@ ક્ત
યેમેન	યે@@ મેન
યોજના	યો@@ જના
યોર્ક	યો@@ ર્ક
રંજના	રં@@ જના
રાકેશ	રા@@ કેશ
રાવેર	રા@@ વેર
રુદ્ર	રુ@@ દ્ર
રુપાલ	રુ@@ પાલ
લોખંડ	લો@@ ખંડ
લોનાર	લો@@ નાર
વડગામ	વડ@@ ગામ
વડતાલ	વડ@@ તાલ
વડનગર	વડ@@ નગર
વડીયા	વડ@@ ીયા
વનરાજ	વન@@ રાજ
વરદાન	વર@@ દાન
વાદ્ય	વા@@ દ્ય
વાલેસ	વા@@ લેસ
વિદેશ	વિ@@ દેશ
વિધાન	વિ@@ ધાન
વિમાન	વિ@@ માન
વિરામ	વિ@@ રામ
વિવાદ	વિ@@ વાદ
વીર્ય	વી@@ ર્ય
વૃક્ષ	વૃ@@ ક્ષ
વેગડા	વે@@ ગડા
વેતાલ	વે@@ તાલ
વેપાર	વે@@ પાર
વેલ્સ	વે@@ લ્સ
વેસ્ટ	વે@@ સ્ટ
વૈદ્ય	વૈ@@ દ્ય
વોર્સ	વો@@ ર્સ
વોલ્સ	વો@@ લ્સ
શામલી	શા@@ મલી
શિમલા	શિ@@ મલા
શેતાન	શે@@ તાન
શોર્ટ	શો@@ ર્ટ
સનવાવ	સન@@ વાવ
સભ્યો	સભ@@ ્યો
સરકાર	સર@@ કાર
સરધાર	સર@@ ધાર
સલમાન	સલ@@ માન
સહદેવ	સહ@@ દેવ
સાંગા	સા@@ ંગા
સાદરા	સા@@ દરા
સાર્ક	સા@@ ર્ક
સિકરી	સિ@@ કરી
સિનિક	સિ@@ નિક
સીવાન	સી@@ વાન
સુંદર	સુ@@ ંદર
સુદાન	સુ@@ દાન
સુસાન	સુ@@ સાન
સૂત્ર	સૂ@@ ત્ર
સૂર્ય	સૂ@@ ર્ય
સેન્ટ	સે@@ ન્ટ
સૈગોન	સૈ@@ ગોન
સૈતાન	સૈ@@ તાન
સૈન્ય	સૈ@@ ન્ય
સોનાર	સો@@ નાર
સોનું	સો@@ નું
હરપાલ	હર@@ પાલ
હાપુર	હા@@ પુર
હાર્ટ	હા@@ ર્ટ
હાવડા	હા@@ વડા
હિંડન	હિ@@ ંડન
હિસાર	હિ@@ સાર
હુમલા	હુ@@ મલા
હેસનો	હે@@ સનો
અભિનવ	અભિ@@ ન@@ વ
આર્ટસ	આર્@@ ટ@@ સ
આર્થર	આર્@@ થ@@ ર
કારોલ	કાર@@ ો@@ લ
ક્રેગ	ક્ર@@ ે@@ ગ
ગ્રુપ	ગ્ર@@ ુ@@ પ
જન્નત	જન્@@ ન@@ ત
ટ્રંપ	ટ્ર@@ ં@@ પ
ટ્રેડ	ટ્ર@@ ે@@ ડ
ટ્રેન	ટ્ર@@ ે@@ ન
ઢાંચા	ઢાં@@ ચ@@ ા
દારૂલ	દાર@@ ૂ@@ લ
દ્રોણ	દ્ર@@ ો@@ ણ
ધ્રુવ	ધ્ર@@ ુ@@ વ
ધ્રોલ	ધ્ર@@ ો@@ લ
ધ્રોળ	ધ્ર@@ ો@@ ળ
ધ્વજો	ધ્વ@@ જ@@ ો
નાગૌર	નાગ@@ ૌ@@ ર
પરાશર	પરા@@ શ@@ ર
પરિષદ	પરિ@@ ષ@@ દ
પાયદળ	પાય@@ દ@@ ળ
પારેખ	પાર@@ ે@@ ખ
પ્રણવ	પ્ર@@ ણ@@ વ
પ્રભુ	પ્ર@@ ભ@@ ુ
બ્રીજ	બ્ર@@ ી@@ જ
ભગવદ્	ભગવ@@ દ@@ ્
મહાબત	મહા@@ બ@@ ત
માલદહ	માલ@@ દ@@ હ
માલવણ	માલ@@ વ@@ ણ
મેઘરજ	મેઘ@@ ર@@ જ
રાજીવ	રાજ@@ ી@@ વ
રાણીપ	રાણ@@ ી@@ પ
રાયગડ	રાય@@ ગ@@ ડ
લડાખી	લડા@@ ખ@@ ી
લાઇટ્	લાઇ@@ ટ@@ ્
વર્ષા	વર્@@ ષ@@ ા
શ્રવણ	શ્ર@@ વ@@ ણ
શ્રોફ	શ્ર@@ ો@@ ફ
સંગઠન	સંગ@@ ઠ@@ ન
સંગણક	સંગ@@ ણ@@ ક
સંદીપ	સંદ@@ ી@@ પ
સર્જક	સર્@@ જ@@ ક
સિંધવ	સિં@@ ધ@@ વ
સ્તંભ	સ્ત@@ ં@@ ભ
હારીજ	હાર@@ ી@@ જ
અનિલા	અનિ@@ લા
અભિગમ	અભિ@@ ગમ
અમૃતા	અમૃ@@ તા
અમેઠી	અમે@@ ઠી
અરુણા	અરુ@@ ણા
અરુબા	અરુ@@ બા
અલ્લૂ	અલ્@@ લૂ
અલ્વી	અલ્@@ વી
અલ્સર	અલ્@@ સર
આર્મી	આર્@@ મી
આર્વી	આર્@@ વી
ઈન્કા	ઈન્@@ કા
ઉત્પલ	ઉત્@@ પલ
એક્કા	એક્@@ કા
એલિસન	એલિ@@ સન
કરાચી	કરા@@ ચી
કરાટે	કરા@@ ટે
કરીના	કરી@@ ના
કલાપી	કલા@@ પી
કલાલી	કલા@@ લી
કલ્કિ	કલ્@@ કિ
કાંડા	કાં@@ ડા
કાંતિ	કાં@@ તિ
કાચબા	કાચ@@ બા
કાનજી	કાન@@ જી
કામદા	કામ@@ દા
કારતક	કાર@@ તક
કુંતી	કું@@ તી
કેરડા	કેર@@ ડા
કોરબા	કોર@@ બા
ખંડવા	ખંડ@@ વા
ગાયકો	ગાય@@ કો
ગિરણા	ગિર@@ ણા
ગોરખા	ગોર@@ ખા
જન્મો	જન્@@ મો
જવાહર	જવા@@ હર
જાંબુ	જાં@@ બુ
જીવની	જીવ@@ ની
ટર્કી	ટર્@@ કી
ટાઇગર	ટાઇ@@ ગર
ટાઇટન	ટાઇ@@ ટન
ટ્રેક	ટ્ર@@ ેક
ઢાંકી	ઢાં@@ કી
ઢાંચો	ઢાં@@ ચો
તળાજા	તળા@@ જા
તુલસી	તુલ@@ સી
દત્તા	દત્@@ તા
દારમા	દાર@@ મા
દિવસો	દિવ@@ સો
દિવ્ય	દિવ@@ ્ય
દેવગઢ	દેવ@@ ગઢ
દેવતા	દેવ@@ તા
દેવધર	દેવ@@ ધર
દેવરી	દેવ@@ રી
દેવળા	દેવ@@ ળા
દેવસર	દેવ@@ સર
ધ્રંગ	ધ્ર@@ ંગ
ધ્વનિ	ધ્વ@@ નિ
નવલગઢ	નવલ@@ ગઢ
નાગદા	નાગ@@ દા
નાગલી	નાગ@@ લી
નામચી	નામ@@ ચી
નાયકા	નાય@@ કા
નાયડુ	નાય@@ ડુ
નાયરા	નાય@@ રા
પટ્ટી	પટ્@@ ટી
પરાળી	પરા@@ ળી
પર્ટો	પર્@@ ટો
પશ્તો	પશ્@@ તો
પહાડી	પહા@@ ડી
પાટડી	પાટ@@ ડી
પારડી	પાર@@ ડી
પારસી	પાર@@ સી
પાલઘર	પાલ@@ ઘર
પાલપા	પાલ@@ પા
પ્રથા	પ્ર@@ થા
બર્મા	બર્@@ મા
બોરસદ	બોર@@ સદ
ભાગલા	ભાગ@@ લા
ભાગવત	ભાગ@@ વત
ભાષાઓ	ભાષ@@ ાઓ
મંડલા	મંડ@@ લા
મનોહર	મનો@@ હર
મહાજન	મહા@@ જન
મહિનો	મહિ@@ નો
મહિલા	મહિ@@ લા
મહીસા	મહી@@ સા
મહુડી	મહુ@@ ડી
મહુડો	મહુ@@ ડો
મહુધા	મહુ@@ ધા
મહુવર	મહુ@@ વર
મહુવા	મહુ@@ વા
મહેલો	મહે@@ લો
માઇકલ	માઇ@@ કલ
માઇલી	માઇ@@ લી
માધવળ	માધ@@ વળ
માનસા	માન@@ સા
માલગઢ	માલ@@ ગઢ
મિલખા	મિલ@@ ખા
મુખ્ય	મુખ@@ ્ય
મૂળજી	મૂળ@@ જી
મૂળની	મૂળ@@ ની
મેઘના	મેઘ@@ ના
મેઘપર	મેઘ@@ પર
મોરગર	મોર@@ ગર
મોરની	મોર@@ ની
મોરબી	મોર@@ બી
રંગીત	રંગ@@ ીત
રત્ના	રત્@@ ના
રાજગઢ	રાજ@@ ગઢ
રાજમા	રાજ@@ મા
રાજવી	રાજ@@ વી
રાજેશ	રાજ@@ ેશ
રાણકી	રાણ@@ કી
રામગઢ	રામ@@ ગઢ
રામફળ	રામ@@ ફળ
રાયકા	રાય@@ કા
રાયગઢ	રાય@@ ગઢ
રાયડો	રાય@@ ડો
રાવજી	રાવ@@ જી
રાવલા	રાવ@@ લા
રોહતક	રોહ@@ તક
લાયબલ	લાય@@ બલ
લાલગઢ	લાલ@@ ગઢ
લાલજી	લાલ@@ જી
વડાલા	વડા@@ લા
વડાલી	વડા@@ લી
વર્તન	વર્@@ તન
વાડકર	વાડ@@ કર
વાયડા	વાય@@ ડા
વાયરસ	વાય@@ રસ
વારલી	વાર@@ લી
શહેરી	શહે@@ રી
શાહગઢ	શાહ@@ ગઢ
શાહનો	શાહ@@ નો
શિવહર	શિવ@@ હર
સંઘવી	સંઘ@@ વી
સપ્તક	સપ્@@ તક
સર્કલ	સર્@@ કલ
સર્વર	સર્@@ વર
સાંસદ	સાં@@ સદ
સાઇરસ	સાઇ@@ રસ
સાયગલ	સાય@@ ગલ
સાયના	સાય@@ ના
સાયમન	સાય@@ મન
સાયલા	સાય@@ લા
સારસા	સાર@@ સા
સિંધી	સિં@@ ધી
સિંધુ	સિં@@ ધુ
સિંહા	સિં@@ હા
સુખડી	સુખ@@ ડી
સુરતી	સુર@@ તી
સોનગઢ	સોન@@ ગઢ
સ્થાન	સ્થ@@ ાન
સ્થિત	સ્થ@@ િત
હેમંત	હેમ@@ ંત
અક્ષય	અક્ષ@@ ય
અફઘાન	અફઘા@@ ન
આશ્રમ	આશ્ર@@ મ
ઉત્તમ	ઉત્ત@@ મ
કચ્છી	કચ્છ@@ ી
કાર્લ	કાર્@@ લ
કોર્ન	કોર્@@ ન
કોલાર	કોલા@@ ર
