!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
કોળું	કોળું	_કોળું
કોવાયા	કોવાયા	_કોવાયા
કોવિંદ	કોવિંદ	_કોવિંદ
કોશી	કોશી	_કોશી
કોષ	કોષ	_કોષ
કોષ્ટક	કોષ્ટક	_કોષ્ટક
કોસંબા	કોસંબા	_કોસંબા
કોસાડ	કોસાડ	_કોસાડ
કોસી	કોસી	_કોસી
કોસ્ટનો	કોસ્ટનો	_કોસ્ટનો
કોસ્ટારિકાનો	કોસ્ટારિકાનો	_કોસ્ટારિકાનો
કોહલી	કોહલી	_કોહલી
કોહિમા	કોહિમા	_કોહિમા
કૌંસ	કૌંસ	_કૌંસ
કૌભાંડ	કૌભાંડ	_કૌભાંડ
કૌર	કૌર	_કૌર
કૌરવ	કૌરવ	_કૌરવ
કૌલ	કૌલ	_કૌલ
કૌશમ્બી	કૌશમ્બી	_કૌશમ્બી
કૌશલ	કૌશલ	_કૌશલ
કૌશલ્યા	કૌશલ્યા	_કૌશલ્યા
કૌશામ્બી	કૌશામ્બી	_કૌશામ્બી
કૌશિક	કૌશિક	_કૌશિક
કૌસરનાગ	કૌસરનાગ	_કૌસરનાગ
કૌસ્તુભ	કૌસ્તુભ	_કૌસ્તુભ
ક્યા	ક્યા	_ક્યા
ક્યુબાનો	ક્યુબાનો	_ક્યુબાનો
ક્યુરીયમ	ક્યુરીયમ	_ક્યુરીયમ
ક્રમચય	ક્રમચય	_ક્રમચય
ક્રમાંક	ક્રમાંક	_ક્રમાંક
ક્રાંતિ	ક્રાંતિ	_ક્રાંતિ
ક્રાંતિકારી	ક્રાંતિકારી	_ક્રાંતિકારી
ક્રાંતિનું	ક્રાંતિનું	_ક્રાંતિનું
ક્રાઇસ્ટ	ક્રાઇસ્ટ	_ક્રાઇસ્ટ
ક્રાઇસ્ટચર્ચ	ક્રાઇસ્ટચર્ચ	_ક્રાઇસ્ટચર્ચ
ક્રિકેટ	ક્રિકેટ	_ક્રિકેટ
ક્રિકેટનું	ક્રિકેટનું	_ક્રિકેટનું
ક્રિકેટનો	ક્રિકેટનો	_ક્રિકેટનો
ક્રિકેટમાં	ક્રિકેટમાં	_ક્રિકેટમાં
ક્રિકેટર	ક્રિકેટર	_ક્રિકેટર
ક્રિપ્ટોન	ક્રિપ્ટોન	_ક્રિપ્ટોન
ક્રિભકો	ક્રિભકો	_ક્રિભકો
ક્રિયા	ક્રિયા	_ક્રિયા
ક્રિયાવિશેષણ	ક્રિયાવિશેષણ	_ક્રિયાવિશેષણ
ક્રિશ્નનક્યુટી	ક્રિશ્નનક્યુટી	_ક્રિશ્નનક્યુટી
ક્રિષ્નામાચારી	ક્રિષ્નામાચારી	_ક્રિષ્નામાચારી
ક્રિસમસ	ક્રિસમસ	_ક્રિસમસ
ક્રિસ્ટલ	ક્રિસ્ટલ	_ક્રિસ્ટલ
ક્રિસ્ટાડેલ્ફિયન્સ	ક્રિસ્ટાડેલ્ફિયન્સ	_ક્રિસ્ટાડેલ્ફિયન્સ
ક્રિસ્ટી	ક્રિસ્ટી	_ક્રિસ્ટી
ક્રીડાંગણ	ક્રીડાંગણ	_ક્રીડાંગણ
ક્રીપ્સ	ક્રીપ્સ	_ક્રીપ્સ
ક્રેગ	ક્રેગ	_ક્રેગ
ક્રેડિટ	ક્રેડિટ	_ક્રેડિટ
ક્રોએશિયન	ક્રોએશિયન	_ક્રોએશિયન
ક્રોએશિયા	ક્રોએશિયા	_ક્રોએશિયા
ક્રોએશિયાનો	ક્રોએશિયાનો	_ક્રોએશિયાનો
ક્રોપ	ક્રોપ	_ક્રોપ
ક્રોમ	ક્રોમ	_ક્રોમ
ક્રોમા	ક્રોમા	_ક્રોમા
ક્રોહનનો	ક્રોહનનો	_ક્રોહનનો
ક્લક્સ	ક્લક્સ	_ક્લક્સ
ક્લબ	ક્લબ	_ક્લબ
ક્લાન	ક્લાન	_ક્લાન
ક્લિન્ટન	ક્લિન્ટન	_ક્લિન્ટન
ક્લુમ	ક્લુમ	_ક્લુમ
ક્વાન	ક્વાન	_ક્વાન
ક્વિંગઝાંગ	ક્વિંગઝાંગ	_ક્વિંગઝાંગ
ક્વિન	ક્વિન	_ક્વિન
ક્વિબેક	ક્વિબેક	_ક્વિબેક
ક્વીન	ક્વીન	_ક્વીન
ક્વીન્સ	ક્વીન્સ	_ક્વીન્સ
ક્વીન્સલેન્ડ	ક્વીન્સ લેન્ડ	_ક્વીન્સ || _લેન્ડ
ક્વોન્ટિકો	ક્વોન્ટિકો	_ક્વોન્ટિકો
ક્ષ-કિરણો	ક્ષ કિરણ +(ો)	_ક્ષ || _કિરણ +ો
ક્ષત્રિય	ક્ષત્રિય	_ક્ષત્રિય
ક્ષમાવણી	ક્ષમાવણી	_ક્ષમાવણી
ક્ષય	ક્ષય	_ક્ષય
ક્ષારાતુ	ક્ષારાતુ	_ક્ષારાતુ
ક્ષિપ્રા	ક્ષિપ્રા	_ક્ષિપ્રા
ક્ષેત્ર	ક્ષેત્ર	_ક્ષેત્ર
ક્ષેત્ર,	ક્ષેત્ર,	_ક્ષેત્ર,
ક્ષેત્રના	ક્ષેત્ર +(ના)	_ક્ષેત્ર +ના
ક્ષેત્રફળ	ક્ષેત્રફળ	_ક્ષેત્રફળ
ક્ષેત્રી	ક્ષેત્ર +(ી)	_ક્ષેત્ર +ી
ખંજરી	ખંજરી	_ખંજરી
ખંડ	ખંડ	_ખંડ
ખંડ,	ખંડ,	_ખંડ,
ખંડવા	ખંડવા	_ખંડવા
ખંડાલા	ખંડાલા	_ખંડાલા
ખંડેરાવ	ખંડેરાવ	_ખંડેરાવ
ખંડેરિયા	ખંડેરિયા	_ખંડેરિયા
ખંભરા	ખંભરા	_ખંભરા
ખંભાત	ખંભાત	_ખંભાત
ખંભાતનો	ખંભાતનો	_ખંભાતનો
ખંભાતા	ખંભાતા	_ખંભાતા
ખંભાલીડા	ખંભાલીડા	_ખંભાલીડા
ખંભાળિયા	ખંભાળિયા	_ખંભાળિયા
ખગડિયા	ખગડિયા	_ખગડિયા
ખગોળશાસ્ત્ર	ખગોળશાસ્ત્ર	_ખગોળશાસ્ત્ર
ખગોળશાસ્ત્રીઓ	ખગોળશાસ્ત્રીઓ	_ખગોળશાસ્ત્રીઓ
ખગોળીય	ખગોળીય	_ખગોળીય
ખજરાના	ખજરાના	_ખજરાના
ખજુરાહો	ખજુરાહો	_ખજુરાહો
ખડ	ખડ	_ખડ
ખડકો	ખડકો	_ખડકો
ખડિયા	ખડિયા	_ખડિયા
ખડી	ખડી	_ખડી
ખડોતિયા	ખડોતિયા	_ખડોતિયા
ખત્રી	ખત્રી	_ખત્રી
ખદીજા	ખદીજા	_ખદીજા
ખનીજ	ખનીજ	_ખનીજ
ખન્ના	ખન્ના	_ખન્ના
ખબરદાર	ખબરદાર	_ખબરદાર
ખમણ	ખમણ	_ખમણ
ખમ્મમ	ખમ્મમ	_ખમ્મમ
ખરગોન	ખરગોન	_ખરગોન
ખરસાણી	ખરસાણી	_ખરસાણી
ખરસાવાં	ખરસાવાં	_ખરસાવાં
ખરીફ	ખરીફ	_ખરીફ
ખરે	ખરે	_ખરે
ખરોડ	ખરોડ	_ખરોડ
ખલખલીયો	ખલખલીયો	_ખલખલીયો
ખલિલાબાદ	ખલિલાબાદ	_ખલિલાબાદ
ખલીફા	ખલીફા	_ખલીફા
ખલીલ	ખલીલ	_ખલીલ
ખાંટ	ખાંટ	_ખાંટ
ખાંડવપ્રસ્થ	ખાંડવપ્રસ્થ	_ખાંડવપ્રસ્થ
ખાંડવાળા	ખાંડવાળા	_ખાંડવાળા
ખાંડવી	ખાંડવી	_ખાંડવી
ખાંદેરી	ખાંદેરી	_ખાંદેરી
ખાખરા	ખાખરા	_ખાખરા
ખાખરેચી	ખાખરેચી	_ખાખરેચી
ખાખરો	ખાખરો	_ખાખરો
ખાચર	ખાચર	_ખાચર
ખાજા	ખાજા	_ખાજા
ખાટી	ખાટી	_ખાટી
ખાડિયા	ખાડિયા	_ખાડિયા
ખાડી	ખાડી	_ખાડી
ખાતર	ખાતર	_ખાતર
ખાદી	ખાદી	_ખાદી
ખાદ્ય	ખાદ્ય	_ખાદ્ય
ખાન	ખાન	_ખાન
ખાનદેશ	ખાનદેશ	_ખાનદેશ
ખાનનો	ખાન +(ો)	_ખાન $+ન +ો
ખાનપર	ખાનપર	_ખાનપર
ખાબ,	ખાબ,	_ખાબ,
ખારઘર	ખારઘર	_ખારઘર
ખારવા	ખારવા	_ખારવા
ખારાઘોડા	ખારાઘોડા	_ખારાઘોડા
ખારી	ખારી	_ખારી
ખારોડ	ખારોડ	_ખારોડ
ખાલસા	ખાલસા	_ખાલસા
ખાવડા	ખાવડા	_ખાવડા
ખાવાનો	ખાવાનો	_ખાવાનો
ખાસી	ખાસી	_ખાસી
ખિરસુ	ખિરસુ	_ખિરસુ
ખિલજી	ખિલજી	_ખિલજી
ખિલાવડ	ખિલાવડ	_ખિલાવડ
ખિસકોલી	ખિસકોલી	_ખિસકોલી
ખીચડી	ખીચડી	_ખીચડી
ખીચીયું	ખીચીયું	_ખીચીયું
ખીજડીયા	ખીજડીયા	_ખીજડીયા
ખીજડો	ખીજડો	_ખીજડો
ખીણ	ખીણ	_ખીણ
ખીણની	ખીણની	_ખીણની
ખીર	ખીર	_ખીર
ખીરભવાની	ખીરભવાની	_ખીરભવાની
ખીરસરા	ખીરસરા	_ખીરસરા
ખીરોકિટીયા	ખીરોકિટીયા	_ખીરોકિટીયા
ખીલ	ખીલ	_ખીલ
ખુમાલો	ખુમાલો	_ખુમાલો
ખુરાના	ખુરાના	_ખુરાના
ખુશરો	ખુશરો	_ખુશરો
ખૂલ્લો	ખૂલ્લો	_ખૂલ્લો
ખેંગાર	ખેંગાર	_ખેંગાર
ખેચરી	ખેચરી	_ખેચરી
ખેડબ્રહ્મા	ખેડબ્રહ્મા	_ખેડબ્રહ્મા
ખેડા	ખેડા	_ખેડા
ખેડોઈ	ખેડોઈ	_ખેડોઈ
ખેતર	ખેતર	_ખેતર
ખેતરપાલ	ખેતરપાલ	_ખેતરપાલ
ખેતી	ખેતી	_ખેતી
ખેરખટ્ટો	ખેરખટ્ટો	_ખેરખટ્ટો
ખેરગામ	ખેરગામ	_ખેરગામ
ખેરવા	ખેરવા	_ખેરવા
ખેરાલી	ખેરાલી	_ખેરાલી
ખેરાલુ	ખેરાલુ	_ખેરાલુ
ખેરી	ખેરી	_ખેરી
